NAME,state,population_2011,population_2016,population_2021,2011_to_2016_population_chg,2016_to_2021_population_chg,2011_to_2021_population_chg
Mississippi,28,2956700,2989192,2967023,0.01098927858761467,-0.007416385431247008,0.003491392430750473
Missouri,29,5955802,6059651,6141534,0.017436610552197696,0.013512824418435931,0.031185052827478188
Montana,30,982854,1023391,1077978,0.041244172583110084,0.05333933950953251,0.09678344901684288
Nebraska,31,1813061,1881259,1951480,0.0376148403170109,0.037326598836204816,0.07634547320801666
Nevada,32,2673396,2839172,3059238,0.06200951897885676,0.0775106263375378,0.14432654197133532
New Hampshire,33,1315911,1327503,1372175,0.008809106390933685,0.03365114805766911,0.04275669099202006
New Jersey,34,8753064,8915456,9234024,0.018552589127647234,0.035732103887899935,0.05494761605764564
New Mexico,35,2037136,2082669,2109366,0.022351477760935046,0.012818647610350009,0.035456641088272844
New York,36,19302448,19697457,20114745,0.020464191899390194,0.021184866655629797,0.04208258973162371
North Carolina,37,9418736,9940828,10367022,0.05543121709749599,0.0428730886401012,0.10068081322164679
North Dakota,38,666783,736162,773344,0.10405034321510898,0.05050790451014864,0.15981361252461435
Ohio,39,11525536,11586941,11769923,0.005327734866300338,0.015792088697094364,0.021203959624958024
Oklahoma,40,3714520,3875589,3948136,0.04336199562796805,0.018718961169515103,0.06289264830987573
Oregon,41,3801991,3982267,4207177,0.04741620903363519,0.056477880564010485,0.10657205658824553
Pennsylvania,42,12660739,12783977,12970650,0.009733870984940163,0.014602106996907116,0.024478113007463387
Rhode Island,44,1053959,1054491,1091949,0.000504763468028635,0.03552235154211836,0.036045045395503905
South Carolina,45,4575864,4834605,5078903,0.0565447312245293,0.05053111888148054,0.1099331186416379
South Dakota,46,807697,851058,881785,0.05368473573629706,0.036104472315635405,0.09172746710709578
Tennessee,47,6297991,6548009,6859497,0.039698056094395806,0.0475698796382229,0.08915636748290057
Texas,48,24774187,26956435,28862581,0.0880855545330308,0.07071209527520983,0.16502636393274983
Vermont,50,624958,626249,641637,0.002065738817648599,0.024571695922867676,0.026688193446599673
Utah,49,2715379,2948427,3231370,0.08582521997850034,0.09596405133991781,0.19002540713469473
Virginia,51,7926192,8310301,8582479,0.04846072363626819,0.03275188227237491,0.08279978582401237
Washington,53,6652845,7073146,7617364,0.0631761299113387,0.07694143454694702,0.14497842652278847
West Virginia,54,1846372,1846092,1801049,-0.00015164874683970542,-0.02439910903681941,-0.024547057689349727
Wisconsin,55,5664893,5754798,5871661,0.015870555719234236,0.020307055086903114,0.03649989505538764
Wyoming,56,554697,583029,576641,0.05107653367514153,-0.010956573343693043,0.0395603365440953
Puerto Rico,72,3742586,3529385,3311274,-0.05696622602660295,-0.061798585305938625,-0.1152443791538792
Alabama,01,4747424,4841164,4997675,0.019745445108757975,0.032329208430038836,0.0527130081492615
Alaska,02,700703,736855,735951,0.051593899269733345,-0.0012268356732328956,0.05030376636035516
Arizona,04,6337373,6728577,7079203,0.06172967884326841,0.05210997808303297,0.11705638913789662
Arkansas,05,2895928,2968472,3006309,0.025050346555577363,0.012746288326115351,0.03811593382155909
California,06,36969200,38654206,39455353,0.04557864384406485,0.020725998097076426,0.06724930482672065
Colorado,08,4966061,5359295,5723176,0.07918428710400449,0.06789717677418383,0.1524578534174268
Delaware,10,890856,934695,981892,0.04920997332902277,0.050494546349343805,0.10218935495747905
District of Columbia,11,593955,659009,683154,0.10952681600457947,0.03663834636552754,0.15017804379119637
Connecticut,09,3558172,3588570,3605330,0.008543150808898448,0.004670384024834329,0.013253434628792471
Florida,12,18688787,19934451,21339762,0.06665301498700793,0.07049659907865036,0.1418484249405807
Georgia,13,9600612,10099320,10625615,0.05194543847829691,0.052111924367185036,0.1067643396066833
Idaho,16,1549987,1635483,1811617,0.05515917230273537,0.10769540252023413,0.16879496408679562
Hawaii,15,1346554,1413673,1453498,0.04984501178563949,0.028171295624942916,0.07942050597302441
Illinois,17,12790182,12851684,12821813,0.004808532044344727,-0.002324286840541645,0.0024730687960499154
Indiana,18,6454254,6589578,6751340,0.02096663688785716,0.024548157712072083,0.04602948690894415
Iowa,19,3032266,3106589,3179090,0.0245107124506887,0.02333781520503675,0.04842055413344348
Kansas,20,2830985,2898292,2932099,0.02377511714120706,0.01166445616935774,0.035716897122379576
Kentucky,21,4316040,4411989,4494141,0.02223079489532065,0.018620173350386793,0.041264909500375424
Louisiana,22,4484596,4645670,4657305,0.03591717068828504,0.0025044826688076505,0.03851160728859404
Maine,23,1328543,1329923,1357046,0.0010387319040483511,0.020394413811927414,0.021454330044266445
Maryland,24,5736545,5959902,6148545,0.03893580543689623,0.03165203051996501,0.07182023325886933
Massachusetts,25,6512227,6742143,6991852,0.03530528035954528,0.03703703703703698,0.07364992037286178
Michigan,26,9920621,9909600,10062512,-0.0011109183588406957,0.015430693468959422,0.014302632869454435
Minnesota,27,5278190,5450868,5670472,0.03271538159861609,0.04028789543243394,0.07432131090392735
